store_id	正式店名	店名かな	別名・旧名	施設区分	大ジャンル	小ジャンル	都道府県	市区町村	住所	緯度	経度	最寄駅・交通	電話番号	公式URL	食べログURL	GoogleマップURL	営業状態	予約区分	昼予算	夜予算	最終確認日	確認状態	備考
FOD-1149	タンドール料理ひつじや 日比谷店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 日比谷駅			https://tabelog.com/tokyo/A1301/A130102/13007608/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13007608 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1150	フレンチカレー スプーン			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 西荻窪駅			https://tabelog.com/tokyo/A1319/A131907/13093699/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13093699 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1151	エリックサウス 東京ガーデンテラス店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 永田町駅			https://tabelog.com/tokyo/A1308/A130801/13195343/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13195343 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1152	ナイルレストラン			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 東銀座駅			https://tabelog.com/tokyo/A1301/A130101/13002329/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13002329 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1153	ダバ インディア			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 京橋駅			https://tabelog.com/tokyo/A1302/A130202/13000506/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13000506 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1154	ヘンドリクス カリー バー			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 国立競技場駅			https://tabelog.com/tokyo/A1309/A130901/13007422/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13007422 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1155	スパイスボックス			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 小川町駅			https://tabelog.com/tokyo/A1310/A131002/13191118/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13191118 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1156	アジアカレーハウス			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 錦糸町駅			https://tabelog.com/tokyo/A1312/A131201/13168072/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13168072 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1157	カリーライス専門店エチオピア 本店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 神保町駅			https://tabelog.com/tokyo/A1310/A131003/13000638/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13000638 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1158	南インド料理ダクシン 八重洲店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 京橋駅			https://tabelog.com/tokyo/A1302/A130202/13117635/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13117635 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
