listing_id	category_slug	genre	region	category_ordinal	listed_name	prefecture	area_text	tabelog_url	tabelog_id	source_url	category_official_count
HYK2020-0068	bread_tokyo	パン	TOKYO	68	小麦と酵母 満 ecute品川店	東京都	東京都 品川駅	https://tabelog.com/tokyo/A1314/A131403/13022775/	13022775	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0069	bread_tokyo	パン	TOKYO	69	パン・オ・スリール	東京都	東京都 渋谷駅	https://tabelog.com/tokyo/A1306/A130602/13147336/	13147336	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0070	bread_tokyo	パン	TOKYO	70	ブーランジェリーレカン	東京都	東京都 東銀座駅	https://tabelog.com/tokyo/A1301/A130101/13175684/	13175684	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0071	bread_tokyo	パン	TOKYO	71	モンシェール 東陽町工場	東京都	東京都 東陽町駅	https://tabelog.com/tokyo/A1313/A131303/13024396/	13024396	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0072	bread_tokyo	パン	TOKYO	72	イエンセン	東京都	東京都 代々木八幡駅	https://tabelog.com/tokyo/A1318/A131810/13007309/	13007309	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0073	bread_tokyo	パン	TOKYO	73	俺のBakery&Cafe 恵比寿	東京都	東京都 恵比寿駅	https://tabelog.com/tokyo/A1303/A130302/13201307/	13201307	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0074	bread_tokyo	パン	TOKYO	74	ベッカライ・ブロートハイム	東京都	東京都 桜新町駅	https://tabelog.com/tokyo/A1317/A131707/13001529/	13001529	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0075	bread_tokyo	パン	TOKYO	75	パンのペリカン	東京都	東京都 田原町駅	https://tabelog.com/tokyo/A1311/A131102/13003662/	13003662	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0076	bread_tokyo	パン	TOKYO	76	ベーカリー&レストラン 沢村 新宿	東京都	東京都 新宿駅	https://tabelog.com/tokyo/A1304/A130403/13193553/	13193553	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0077	bread_tokyo	パン	TOKYO	77	ブーランジェリー スドウ	東京都	東京都 松陰神社前駅	https://tabelog.com/tokyo/A1317/A131709/13098861/	13098861	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0078	bread_tokyo	パン	TOKYO	78	小麦と酵母 濱田家 三軒茶屋本店	東京都	東京都 西太子堂駅	https://tabelog.com/tokyo/A1317/A131706/13005398/	13005398	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0079	bread_tokyo	パン	TOKYO	79	エディアールベーカリー 新宿本店	東京都	東京都 新宿三丁目駅	https://tabelog.com/tokyo/A1304/A130401/13012061/	13012061	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0080	bread_tokyo	パン	TOKYO	80	オリミネベーカーズ 築地七丁目店	東京都	東京都 築地駅	https://tabelog.com/tokyo/A1313/A131301/13124863/	13124863	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
